Timestamp start: 1715974908540
Timestamp end: 1715975689136

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      364.8   322.9   101.3   165.4   183.2   319.1   396.9   444.3   480.3   524.6   581.0   666.5   919.9  2887.2 10246.9  90262.5    90283
read      420.8   530.4   101.3   161.8   180.0   339.3   457.9   521.1   562.8   617.2   703.2   858.5  1156.3  7405.9 24798.5  26333.8    26273
read      367.1   376.4    93.8   158.4   175.6   318.0   395.3   447.5   490.4   540.5   596.7   670.1   971.5  3487.4 14510.3  48565.5    48521
read      361.4   295.4   101.3   157.8   174.7   312.3   402.7   464.5   507.9   551.3   595.9   654.0   849.5  2546.9 15229.1  34096.2    34058
read      363.3   257.2   101.3   163.9   180.9   317.9   398.3   447.7   485.2   529.8   585.0   667.9  1027.9  2594.7  6454.4  75523.0    75648
read      425.5   499.0   109.4   173.6   192.6   361.7   457.9   511.4   552.2   609.8   686.0   789.0  1072.5  7298.2 22492.3  19496.2    19482
read      495.2  1159.9   101.3   176.2   196.5   374.8   464.2   521.4   563.9   610.6   665.5   746.5  2767.3 12604.7 36389.4  15138.0    15054
read      426.5   460.5    93.8   167.0   186.4   338.8   429.3   486.6   530.5   583.3   658.7   841.7  1860.4  4211.7 12386.3  75802.8    75754
read      458.9  1443.8   127.6   205.5   231.0   329.9   365.0   385.0   399.2   419.0   447.1   515.9  3252.9 28943.1 49630.7   5182.0     5187
read      496.3  1151.7   109.4   180.9   201.6   383.4   486.1   551.1   602.8   656.3   716.8   803.3  1489.5 14727.7 42146.5  17639.0    17656
read      447.0   537.2   101.3   173.8   196.0   356.8   439.2   495.9   541.1   599.7   683.8   856.6  1894.3  8399.8 16362.9  96431.5    96343
read      358.5   241.8    93.8   157.2   174.1   310.8   395.7   457.8   502.9   549.0   597.2   658.4   871.5  2286.7  9020.9  36680.2    36665
read      360.1   258.0   101.3   164.4   182.1   317.0   395.4   442.8   478.7   522.6   577.8   658.8   857.9  2969.1  7946.4  85492.5    85269
read      366.8   405.5   101.3   157.0   173.8   310.9   406.5   469.1   509.9   550.3   592.7   648.5   858.3  5560.3 14724.5  31525.8    31525
read      362.4   327.7   101.3   161.9   178.4   321.4   399.6   447.6   485.0   530.5   585.5   658.4   823.2  3168.3  9855.1  61667.2    61798
read      416.4   695.4   109.4   177.4   198.2   361.0   427.9   467.9   497.8   534.6   582.7   657.8  1109.6 10068.9 31537.4  12287.8    12253
read      454.5   701.9   101.3   165.7   185.4   349.7   471.5   538.9   590.3   666.2   769.4   904.8  1328.5 10724.3 29703.5  25728.0    25710
read      419.4   483.9    93.8   165.1   184.2   333.6   421.0   475.8   518.5   570.7   638.2   797.3  1840.6  5676.3 16000.5  79845.8    79937
read      408.1   998.9   118.1   190.3   213.2   328.2   367.3   389.8   405.8   429.2   461.6   516.3  2548.7 11941.4 35212.3   7270.0     7271
read      416.7   521.3    93.8   166.2   185.8   340.0   424.2   474.8   515.2   567.9   639.7   781.0  1814.6  6220.5 25714.9  85271.5    85861
read      362.1   316.2   101.3   164.0   182.4   318.9   395.8   443.0   479.0   522.8   578.6   661.3   845.9  3593.4 12399.2  91652.2    91467
read      383.5   438.9   101.3   164.5   182.5   327.0   412.6   464.2   503.2   549.1   607.1   691.9  1016.0  5636.5 15791.5  71986.0    72217
read      356.9   344.2   101.3   157.9   174.8   314.6   405.0   462.0   500.1   537.5   579.1   634.1   763.4  2443.5 12649.1  30984.5    31080
read      374.3   439.9    93.8   160.0   177.8   322.3   404.4   454.7   491.8   536.9   593.9   684.3   961.0  4249.4 15481.6  76635.8    76878
read      369.1   422.4    93.8   160.7   178.1   314.1   392.5   439.9   476.2   520.3   577.1   664.9  1083.5  5493.3 12688.1  84757.2    84584
read      423.3   908.0   109.4   173.0   194.6   348.2   414.5   453.4   482.3   518.9   567.1   636.5  1478.3 10903.2 31969.4  12484.8    12492
read      373.2   364.0    93.8   157.3   174.8   316.0   392.1   439.5   479.0   530.9   594.1   688.0  1498.4  3218.3 14238.1  57142.0    57106
read      361.4   280.8   101.3   164.4   182.7   316.5   393.5   439.5   474.0   517.0   572.8   658.9   927.9  2846.8  9367.2  96104.8    96245
read      428.3  1061.8   127.6   194.5   217.8   330.5   369.5   392.1   408.2   430.8   463.3   520.4  2988.3 12582.6 48148.3   6794.8     6791
